"scientificName","coordinateUncertaintyInMeters","publishingCountry","stateProvince","year","references","gbifID","Species_name","Latitude_WGS84","Longitude_WGS84","FID_1","Id","Long_m","Lat_m"
"Anaxyrus boreas (Baird & Girard, 1852)",4,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/135331983",3912258749,"Western toad",49.345825,-124.628455,0,0,-1938193.98036097,1398140.50325041
"Anaxyrus boreas (Baird & Girard, 1852)",6,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/135460805",3912095709,"Western toad",49.597939,-122.650955,0,0,-1799775.57443585,1387534.29342297
"Anaxyrus boreas (Baird & Girard, 1852)",6,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/135465596",3912442105,"Western toad",49.599594,-122.648369,0,0,-1799551.61594727,1387672.02858881
"Anaxyrus boreas (Baird & Girard, 1852)",6,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/135473165",3912359198,"Western toad",49.552071,-122.605324,0,0,-1798268.30925691,1381489.83759327
"Anaxyrus boreas (Baird & Girard, 1852)",81,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/136491442",3960972597,"Western toad",50.095477,-119.651423,0,0,-1587283.47034172,1390335.45698399
"Anaxyrus boreas (Baird & Girard, 1852)",11,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/136541891",3915616227,"Western toad",49.764545,-123.031464,0,0,-1819271.02917833,1413590.76137433
"Anaxyrus boreas (Baird & Girard, 1852)",30,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/139137482",3947445836,"Western toad",50.509087,-118.24762,0,0,-1483581.87838401,1414703.96837063
"Anaxyrus boreas (Baird & Girard, 1852)",10,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/139455488",3947124208,"Western toad",50.502018,-118.29538,0,0,-1486901.01447556,1414646.18353059
"Anaxyrus boreas (Baird & Girard, 1852)",10,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/139474792",3947632215,"Western toad",50.509823,-118.251122,0,0,-1483791.03571203,1414842.70546191
"Anaxyrus boreas (Baird & Girard, 1852)",10,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/139551794",3947299348,"Western toad",49.600803,-117.12085,0,0,-1433281.29992821,1293533.02491586
"Anaxyrus boreas (Baird & Girard, 1852)",10,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/139551821",3947574283,"Western toad",49.600037,-117.124153,0,0,-1433521.61297568,1293495.18864235
"Anaxyrus boreas (Baird & Girard, 1852)",10,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/139552434",3947255308,"Western toad",49.601345,-117.11927,0,0,-1433161.78885325,1293571.24792417
"Anaxyrus boreas (Baird & Girard, 1852)",30,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/140305766",3961237099,"Western toad",49.600662,-117.121269,0,0,-1433312.92238424,1293523.20209908
"Anaxyrus boreas (Baird & Girard, 1852)",10,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/140685707",3961176461,"Western toad",49.598564,-122.649742,0,0,-1799675.45451467,1387581.81925965
"Anaxyrus boreas (Baird & Girard, 1852)",10,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/140687664",3961216474,"Western toad",49.552059,-122.605461,0,0,-1798277.71533704,1381491.08143606
"Anaxyrus boreas (Baird & Girard, 1852)",10,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/140693493",3961421506,"Western toad",49.552242,-122.606339,0,0,-1798329.53685189,1381528.39997159
"Anaxyrus boreas (Baird & Girard, 1852)",6,"US","British Columbia",2022,"https://www.inaturalist.org/observations/142732641",3986295916,"Western toad",54.099895,-128.626678,0,0,-2011465.30522673,2008042.10188057
"Anaxyrus boreas (Baird & Girard, 1852)",267,"US","British Columbia",2022,"https://www.inaturalist.org/observations/145379613",4011854861,"Western toad",55.382023,-123.138462,0,0,-1641594.14510403,2043045.25727344
"Anaxyrus boreas (Baird & Girard, 1852)",24,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/145390687",4014936719,"Western toad",49.697455,-120.2797,0,0,-1640373.99618159,1355780.22186608
"Anaxyrus boreas boreas",20,"US","British Columbia",2022,"https://www.inaturalist.org/observations/150083659",4133620415,"Western toad",49.598835,-122.649689,0,0,-1799663.13614122,1387611.40546671
